school,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Mjob_'at_home',Mjob_'health',Mjob_'other',Mjob_'services',Mjob_'teacher',Fjob_'at_home',Fjob_'health',Fjob_'other',Fjob_'services',Fjob_'teacher',reason_'course',reason_'home',reason_'other',reason_'reputation',guardian_'father',guardian_'mother',guardian_'other',Gvg,Avgalc,Bum
,18,,,,4,4,1,2,0,0,0,0,1,0,1,1,0,3,2,4,1,4,2,4,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,17.5,2.5,16.0
,16,,,,3,1,1,2,0,0,1,0,0,1,1,1,0,2,3,3,2,2,4,2,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,11.0,2.0,13.0
,18,,,,4,4,2,2,0,0,0,0,1,0,1,1,0,4,3,5,1,2,1,0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,18.0,1.5,9.0
,16,,,,1,2,1,3,0,1,0,0,0,1,1,1,0,4,4,3,1,1,5,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,10.5,1.0,8.0
,15,,,,1,1,1,2,0,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,12.0,3.0,15.0
,15,,,,1,2,2,1,0,0,0,0,0,1,1,0,0,5,1,2,1,1,1,3,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,12.0,1.0,11.5
,16,,,,4,2,1,2,0,0,0,0,0,1,1,1,1,4,2,3,1,1,3,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,17.0,1.0,7.0
,18,,,,2,1,1,2,3,0,1,0,1,1,0,1,1,5,4,5,1,3,5,10,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,9.5,2.0,32.0
,18,,,,3,3,1,2,0,0,1,0,0,1,1,1,0,3,2,4,2,4,4,10,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,10.0,3.0,26.0
,17,,,,1,1,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,5,4,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,10.5,1.5,15.0
,17,,,,4,2,2,4,0,0,0,0,0,1,1,1,1,4,2,3,3,1,5,0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,18.0,2.0,7.0
,18,,,,3,2,2,1,0,0,0,0,0,1,0,1,0,4,4,5,2,4,5,8,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,7.5,3.0,26.0
,16,,,,3,2,2,3,0,0,0,0,1,1,1,1,1,5,3,3,1,3,2,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,12.0,2.0,9.0
,15,,,,2,3,1,3,0,1,0,0,0,0,1,1,0,5,3,2,1,2,5,2,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,9.5,1.5,11.0
,16,,,,1,1,2,1,0,0,0,0,1,1,1,0,0,3,4,4,3,4,5,6,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,11.0,3.5,24.0
,16,,,,4,4,1,2,0,0,1,0,1,1,1,1,0,4,2,4,2,4,1,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,13.0,3.0,11.0
,18,,,,3,4,1,1,0,0,1,0,1,1,1,1,1,5,4,4,1,1,1,4,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,11.5,1.0,16.0
,18,,,,4,4,3,1,0,0,1,1,1,1,1,1,1,2,5,5,1,1,1,5,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,12.5,1.0,18.5
,15,,,,3,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,6,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,15.0,2.5,19.0
,15,,,,4,4,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,14.0,1.5,12.0
