school,age,address,famsize,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,Pstatus_A,Pstatus_T,Gvg,Avgalc,Bum
0,18,0,0,3,4,1,2,0,0,0,0,1,1,1,1,1,4,3,5,1,4,2,9,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,13.5,2.5,24.5
0,17,1,1,2,2,2,2,0,0,1,0,1,1,1,1,0,4,5,2,1,1,1,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,12.5,1.0,10.0
0,16,1,1,4,2,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,8,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,9.5,3.5,26.0
0,15,0,0,4,4,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,10.5,3.0,26.0
0,15,0,1,4,3,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,12.5,1.0,9.0
0,18,0,0,2,1,3,2,1,0,0,0,1,0,0,1,0,4,4,5,4,4,5,4,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,10.5,4.0,23.0
1,18,1,1,1,3,2,2,0,0,1,1,0,1,1,0,0,3,3,4,2,4,3,0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,9.0,3.0,12.0
0,16,1,1,4,3,2,1,0,1,1,1,1,0,1,1,0,3,3,3,1,1,4,6,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,10.0,1.0,18.0
1,16,1,0,4,4,1,2,0,0,1,0,0,1,1,0,0,5,3,2,1,3,2,5,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,10.5,2.0,17.5
0,17,1,0,4,4,2,2,0,0,1,0,0,1,1,1,0,3,3,3,2,3,4,0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,12.0,2.5,11.0
1,18,1,0,1,2,3,1,0,0,1,0,1,1,0,1,1,4,3,3,2,3,3,3,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,9.5,2.5,16.5
0,18,0,1,2,2,1,1,0,0,0,0,0,0,1,1,0,5,4,2,1,2,5,6,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,14.5,1.5,20.0
0,16,0,1,4,4,1,2,0,0,1,0,1,1,1,1,0,4,2,4,2,4,1,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,13.0,3.0,11.0
0,17,0,1,2,1,1,1,0,0,1,0,0,1,1,1,0,5,4,5,1,2,5,22,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,8.0,1.5,44.0
1,18,0,0,4,4,1,4,0,0,1,0,1,1,0,1,1,5,5,5,5,5,5,2,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,5.5,5.0,19.0
1,16,1,0,1,2,1,1,0,0,0,0,0,1,1,0,0,4,4,4,2,4,5,4,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,9.5,3.0,20.0
0,18,0,0,3,4,1,2,0,0,0,0,1,1,1,1,1,4,3,3,1,3,5,6,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,16.0,2.0,19.0
1,17,1,0,1,2,1,1,0,0,1,0,1,1,1,1,0,5,5,5,5,5,3,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,10.5,5.0,25.0
0,16,0,0,1,1,2,2,0,0,1,0,0,1,1,1,0,3,4,2,1,1,5,2,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,9.0,1.0,12.0
0,17,0,0,2,3,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,3,3,0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,10.5,2.0,10.0
0,15,0,1,2,2,1,4,0,0,1,0,1,1,1,1,0,5,5,4,1,2,5,6,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,13.5,1.5,18.0
0,15,0,1,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,14.0,1.0,9.0
0,15,0,1,4,4,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,8,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,15.0,1.0,19.0
1,17,1,0,2,2,3,4,1,0,1,0,0,1,1,0,0,1,3,5,3,5,3,2,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,9.0,4.0,17.0
1,18,0,0,1,1,2,2,0,0,1,0,1,1,1,0,0,4,3,3,1,4,5,6,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,9.5,2.5,20.0
0,17,1,0,2,1,2,1,1,0,0,1,1,1,0,1,1,3,3,2,2,2,5,8,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,8.0,2.0,25.0
0,15,1,1,3,4,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,2,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,11.5,1.0,11.0
0,18,1,1,3,2,1,3,0,0,0,0,1,0,1,0,0,5,3,2,1,1,3,2,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,10.5,1.0,10.0
0,17,0,1,4,3,1,2,0,0,1,1,1,1,1,1,1,5,2,3,1,1,2,4,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,11.0,1.0,13.0
0,18,1,0,3,2,2,3,0,0,1,0,1,1,1,1,0,5,4,2,1,1,4,0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,14.5,1.0,8.0
0,15,1,1,4,3,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,13.5,1.0,10.0
0,17,1,1,3,4,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,2,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,9.5,3.0,16.0
0,18,0,0,2,1,4,2,0,1,1,0,1,1,1,1,1,4,3,2,4,5,3,2,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,9.5,4.5,18.0
0,17,0,1,1,2,2,2,0,0,0,0,1,0,1,1,0,4,4,4,4,5,5,16,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,10.5,4.5,40.0
0,18,0,1,4,4,2,1,0,0,0,0,1,1,1,1,0,3,2,4,1,4,3,6,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,11.5,2.5,20.0
0,16,0,1,3,3,1,2,1,0,1,0,0,1,1,1,1,4,5,5,4,4,5,0,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,10.0,4.0,18.0
1,16,0,0,2,2,4,3,0,0,0,0,0,1,1,0,0,5,1,3,2,2,3,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,9.5,2.0,7.0
0,16,0,0,3,4,1,2,0,1,1,1,1,1,1,1,0,5,3,3,1,1,5,2,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,12.0,1.0,11.0
0,16,0,1,4,4,1,1,0,1,1,0,1,1,1,1,0,4,5,5,5,5,4,12,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,9.0,5.0,37.0
1,16,1,0,1,1,2,1,0,0,0,0,1,1,1,1,0,4,5,5,2,4,5,0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,10.0,3.0,15.0
1,19,0,1,2,1,2,1,3,0,0,0,1,0,0,1,1,4,4,3,1,3,5,4,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,8.5,2.0,24.0
0,16,0,1,3,1,2,4,0,0,1,0,0,1,1,1,0,4,3,2,1,1,5,2,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,12.0,1.0,9.0
0,17,0,0,3,2,1,1,0,0,0,0,0,1,1,1,0,4,4,4,3,4,3,18,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,13.0,3.5,42.0
0,16,0,0,2,1,1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,9.5,4.0,27.0
1,18,1,1,3,2,2,1,0,0,1,0,0,0,1,1,0,2,5,5,5,5,5,8,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,9.5,5.0,31.0
0,16,0,1,4,4,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,4,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,11.5,5.0,23.0
0,15,0,1,4,4,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,11.5,1.0,10.0
0,18,0,1,1,2,2,1,0,0,0,0,0,0,0,1,0,3,4,4,2,4,4,10,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,10.0,3.0,29.0
0,15,1,1,2,3,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,7.5,1.0,9.0
0,16,0,1,1,2,1,1,0,0,1,0,1,1,1,1,1,3,3,3,1,2,3,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,9.5,1.5,10.0
1,17,0,0,3,1,2,1,0,0,0,0,0,0,1,1,0,2,4,5,3,4,2,6,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,10.0,3.5,24.0
0,15,0,1,4,4,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,14.5,1.0,8.0
0,19,0,1,3,2,1,1,0,0,1,0,0,1,0,1,1,4,5,4,1,1,4,6,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,10.0,1.0,20.0
0,19,1,1,3,2,1,1,0,0,1,0,0,0,1,0,1,5,3,4,2,2,5,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,10.5,2.0,11.0
1,17,1,1,1,1,2,1,0,0,1,0,1,0,1,1,1,4,5,5,1,3,2,0,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,9.5,2.0,13.0
0,15,0,1,4,4,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,2,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,15.0,1.0,11.0
0,16,0,1,2,2,1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,9.5,3.0,12.0
0,17,0,0,3,2,1,2,0,0,1,0,0,1,1,1,0,4,4,4,1,2,5,10,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,17.0,1.5,25.0
0,15,0,0,2,1,4,1,0,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,11.5,3.5,16.0
0,17,0,1,1,1,1,2,0,0,0,0,0,0,1,1,0,4,3,3,1,2,4,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,12.0,1.5,9.0
0,16,0,1,3,2,2,3,0,0,0,0,1,1,1,1,1,5,3,3,1,3,2,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,12.0,2.0,9.0
0,18,1,1,2,3,1,1,0,0,0,0,0,1,1,1,0,3,1,3,4,5,4,13,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,13.5,4.5,33.5
1,18,0,0,1,1,2,1,0,0,0,0,0,0,1,1,1,3,3,2,1,2,3,2,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,13.5,1.5,13.0
0,20,0,1,3,2,1,1,2,0,0,0,1,1,1,0,0,5,5,3,1,1,5,0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,14.5,1.0,15.0
0,18,0,0,3,1,2,1,0,0,0,0,1,1,1,1,1,3,3,4,4,5,4,2,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,11.0,4.5,19.0
1,19,0,1,3,2,2,1,3,0,0,0,1,1,1,0,0,3,2,1,1,1,3,4,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,8.5,1.0,20.0
0,16,0,1,4,4,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,6,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,15.0,1.5,19.0
0,15,0,0,1,2,2,1,0,0,0,0,1,1,1,0,0,4,4,4,2,4,5,2,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,8.5,3.0,17.0
1,19,1,1,1,1,2,1,1,0,0,0,0,1,1,0,0,4,3,2,1,3,5,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,6.5,2.0,13.0
0,17,0,1,2,1,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,9.0,1.0,17.0
0,18,1,0,3,4,2,2,0,0,1,0,1,1,1,1,0,4,2,5,3,4,1,6,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,15.5,3.5,21.0
0,18,0,0,2,2,1,2,0,0,1,0,1,0,0,1,0,4,4,4,1,3,3,11,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,10.0,2.0,27.5
1,18,1,1,1,1,2,1,1,0,1,0,0,1,0,1,1,5,3,3,2,3,5,2,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,8.0,2.5,17.0
1,16,1,1,1,2,2,2,0,0,0,0,0,1,1,0,0,4,3,3,1,1,5,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,10.5,1.0,8.0
0,17,0,0,4,3,2,2,0,0,0,0,1,1,1,1,1,2,5,5,1,4,5,8,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,15.0,2.5,25.0
0,18,0,0,3,3,1,2,0,0,1,0,0,1,1,1,0,3,2,4,2,4,4,10,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,10.0,3.0,26.0
0,17,0,0,4,4,1,2,0,0,1,0,0,1,1,1,1,5,3,5,4,5,3,15,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,12.5,4.5,37.5
1,16,1,1,1,1,2,1,0,0,0,0,1,1,1,0,0,3,4,4,3,4,5,6,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,11.0,3.5,24.0
0,18,0,1,2,1,1,2,0,0,0,0,1,1,1,1,0,5,2,4,1,2,4,2,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,16.0,1.5,11.0
1,16,0,1,2,1,2,2,0,0,0,0,0,0,1,1,1,4,2,2,1,4,5,2,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,8.0,2.5,13.0
